full_name,eccentricity,semi-major axis (au),inclination (deg),TP (TDB),sigma_e,sigma_a,sigma_i,sigma_TP,P_category
153P/Ikeya-Zhang,0.990098,51.21358,28.11988,2452352,8.37E-07,0.004333,2.80E-05,2.06E-05,long
C/1941 B1 (Friend-Reese-Honda),0.981221,50.15517,26.2756,2430015,,,,,long
C/1955 L1 (Mrkos),0.989361,50.23207,86.5016,2435263,,,,,long
C/1964 N1 (Ikeya),0.984643,53.50993,171.92,2438609,,,,,long
C/1975 T2 (Suzuki-Saigusa-Mori),0.985653,58.4127,118.2332,2442701,,,,,long
C/1979 S1 (Meier),0.973197,53.42988,67.084,2444164,,,,,long
C/1979 Y1 (Bradfield),0.987952,45.25923,148.6024,2444229,9.87E-05,0.37324,0.0003,0.00236,long
C/1992 Q2 (Helin-Lawrence),0.965365,58.85544,106.8481,2449062,,,,,long
C/1994 E1 (Mueller),0.968171,55.02184,145.1425,2449320,,,,,long
C/1995 Q2 (Hartley-Drinkwater),0.966518,56.42294,168.0075,2449932,,,,,long
C/2000 J1 (Ferris),0.949242,50.06745,98.77002,2451676,0.002477,2.4554,0.01503,0.056518,long
C/2001 S1 (Skiff),0.929722,53.34682,139.1325,2452063,0.000495,0.37903,0.000914,0.066685,long
C/2002 Q2 (LINEAR),0.976739,56.00935,96.75817,2452504,0.003359,8.1078,0.020386,0.074234,long
C/2004 DZ61 (Catalina-LINEAR),0.956027,45.78564,66.80929,2453152,5.60E-06,0.005881,6.80E-05,0.000426,long
C/2004 HV60 (Spacewatch),0.937998,49.45553,92.5317,2452990,0.050572,40.862,0.80912,4.6127,long
C/2004 K3 (LINEAR),0.980973,57.98955,111.9283,2453187,0.000213,0.65005,0.000888,0.004425,long
C/2005 H1 (LINEAR),0.896911,46.25686,81.51213,2453307,9.05E-05,0.041697,0.000791,0.046196,long
C/2005 N4 (Catalina),0.960657,58.55543,116.6303,2453554,0.000386,0.57558,0.000714,0.006402,long
C/2005 O1 (NEAT),0.929513,50.94416,155.9808,2453508,0.00099,0.71892,0.002684,0.036394,long
C/2007 D2 (Spacewatch),0.977711,55.88933,178.618,2454064,0.000737,1.8698,0.00018,0.043392,long
C/2007 H2 (Skiff),0.97169,49.82208,52.19103,2454149,0.000823,1.4526,0.013946,0.010433,long
C/2007 K5 (Lovejoy),0.976621,49.15275,64.88353,2454222,0.000704,1.489,0.002792,0.017711,long
C/2007 T5 (Gibbs),0.913624,46.87954,45.61521,2454611,1.19E-05,0.006559,6.92E-05,0.001798,long
C/2008 H1 (LINEAR),0.946513,51.60662,75.49199,2454542,0.000104,0.10128,0.000215,0.007876,long
C/2013 J6 (Catalina),0.959637,59.85061,85.05498,2456392,0.000212,0.31709,0.002079,0.012589,long
C/2013 N4 (Borisov),0.974805,48.04165,37.03523,2456526,6.86E-06,0.013147,3.37E-05,0.000241,long
C/2013 PE67 (Catalina-Spacewatch),0.966806,55.64397,116.7175,2456636,7.39E-06,0.012436,5.34E-05,0.00042,long
C/2014 G3 (PANSTARRS),0.915636,55.68691,155.8245,2457056,1.32E-05,0.008814,3.09E-05,0.003245,long
C/2018 E1 (ATLAS),0.95039,54.53497,72.47933,2458226,1.03E-05,0.011397,3.89E-05,0.000892,long
